symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status,exchange
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00108,78.68,0xfdbc683c...,-1.05,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00102,74.31,0x12fbaa09...,-0.95,,,,
BTC,LONG,72.75,72747.8,0.001,1773650490443,bybit,,,,,,,,,
BTC,LONG,72.38,73112.0,0.00099,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00086,62.84,0x62e74307...,-0.76,,,,
BTC,LONG,62.84,73075.0,0.00086,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.0008,58.28,0x5a4bf0b1...,-0.73,,,,
,long,,73072.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00076,55.53,0xe6105857...,-0.67,,,,
BTC,LONG,55.53,73072.0,0.00076,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00068,49.54,0x8d547040...,-0.63,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00061,44.44,0xac34512a...,-0.57,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00053,38.61,0xdeded10f...,-0.51,,,,
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00044,32.06,0x0b8092bb...,-0.39,,,,
BTC,LONG,29.2,73001.8,0.04,1773650698221,okx,,,,,,,,,
,long,,73073.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00039,28.5,0xe6105857...,-0.34,,,,
BTC,LONG,28.5,73073.0,0.00039,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,73069.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00032,23.38,0xe6105857...,-0.28,,,,
BTC,LONG,23.38,73069.0,0.00032,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.00027,19.68,0x0b8092bb...,-0.24,,,,
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00026,19.0,0x82e51872...,-0.23,,,,
BTC,LONG,19.0,73075.0,0.00026,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,14.56,72780.3,0.02,1773650591658,okx,,,,,,,,,
BTC,LONG,12.43,73112.0,0.00017,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,73069.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73070.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73071.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73072.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73073.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73074.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73075.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0xe6105857...,-0.15,,,,
,long,,73076.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0x62e74307...,-0.15,,,,
,long,,73077.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00017,12.42,0x62e74307...,-0.15,,,,
BTC,LONG,12.42,73077.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73076.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73075.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73074.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73073.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73072.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73071.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73070.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,12.42,73069.0,0.00017,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,73071.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00016,11.69,0xe6105857...,-0.14,,,,
,long,,73076.0,,2026-03-16T08:43:10.115000,hyperliquid,BTC,0.00016,11.69,0x62e74307...,-0.14,,,,
BTC,LONG,11.69,73076.0,0.00016,1773650590115,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,11.69,73071.0,0.00016,1773650590115,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00014,10.2,0x60c03ac8...,-0.13,,,,
BTC,LONG,7.29,72862.3,0.01,1773650480293,okx,,,,,,,,,
BTC,LONG,7.28,72822.7,0.01,1773650489311,okx,,,,,,,,,
