symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
,long,,72551.0,,2026-03-16T00:37:55.613867+00:00,hyperliquid,BTC,0.00394,285.85094,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x44021275ab54ec417f036accb19bdfb188df49d3,,,
,long,,72458.0,,2026-03-16T00:40:25.502391+00:00,hyperliquid,BTC,0.00394,285.48452,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72458.0,,2026-03-16T00:40:25.594895+00:00,hyperliquid,BTC,0.00394,285.48452,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea,,,
,long,,72507.0,,2026-03-16T00:43:30.347378+00:00,hyperliquid,BTC,0.00391,283.50237000000004,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,,,
,long,,72507.0,,2026-03-16T00:43:30.363153+00:00,hyperliquid,BTC,0.00391,283.50237000000004,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,,,
,long,,72458.0,,2026-03-16T00:41:55.707162+00:00,hyperliquid,BTC,0.00389,281.86161999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xd06157334f8c1a5ddf9e6140a448c4e392ae58d7,,,
,long,,72458.0,,2026-03-16T00:41:55.985926+00:00,hyperliquid,BTC,0.00389,281.86161999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xd06157334f8c1a5ddf9e6140a448c4e392ae58d7,,,
,long,,72450.0,,2026-03-16T00:41:00.525365+00:00,hyperliquid,BTC,0.00387,280.3815,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x588432f54227364caf999a6df88dbf86a90f4772,,,
,long,,72450.0,,2026-03-16T00:41:01.334814+00:00,hyperliquid,BTC,0.00387,280.3815,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x588432f54227364caf999a6df88dbf86a90f4772,,,
,long,,72591.0,,2026-03-16T00:38:30.278833+00:00,hyperliquid,BTC,0.00382,277.29762,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
,long,,72591.0,,2026-03-16T00:38:30.285092+00:00,hyperliquid,BTC,0.00382,277.29762,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,,,
,short,,72541.0,,2026-03-16T00:37:34.562426+00:00,hyperliquid,BTC,0.00381,276.38121,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72541.0,,2026-03-16T00:37:35.298186+00:00,hyperliquid,BTC,0.00381,276.38121,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,long,,72511.0,,2026-03-16T00:42:30.312311+00:00,hyperliquid,BTC,0.00378,274.09158,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,
,long,,72511.0,,2026-03-16T00:42:30.314627+00:00,hyperliquid,BTC,0.00378,274.09158,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,,,
,long,,72631.0,,2026-03-16T00:36:54.944578+00:00,hyperliquid,BTC,0.0037,268.73470000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72631.0,,2026-03-16T00:36:54.968552+00:00,hyperliquid,BTC,0.0037,268.73470000000003,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,,,
,long,,72631.0,,2026-03-16T00:36:00.680262+00:00,hyperliquid,BTC,0.00355,257.84005,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xddc7024d939d7f9973f0fcbc461c016a7dd8dce3,,,
,long,,72631.0,,2026-03-16T00:36:00.713289+00:00,hyperliquid,BTC,0.00355,257.84005,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xddc7024d939d7f9973f0fcbc461c016a7dd8dce3,,,
,long,,72436.0,,2026-03-16T00:41:30.489762+00:00,hyperliquid,BTC,0.00348,252.07728,0xfa1413451bc8dd3484787eb3c3156a7e28c4aade,0xb3a38662575bdf1541013ce987934dba919851ea,,,
